Domestic Passenger - Passenger Enplanements  (January 2004 - December 2025),
Period,Total
January 2004,44224
February 2004,45729
March 2004,54653
April 2004,53731
May 2004,53403
June 2004,57370
July 2004,60086
August 2004,57814
September 2004,48018
October 2004,54609
November 2004,52074
December 2004,52927
January 2005,48249
February 2005,47372
March 2005,59224
April 2005,55247
May 2005,57610
June 2005,60034
July 2005,62748
August 2005,59438
September 2005,50896
October 2005,54040
November 2005,53026
December 2005,53030
January 2006,49081
February 2006,47534
March 2006,58543
April 2006,56042
May 2006,57331
June 2006,59488
July 2006,61036
August 2006,58512
September 2006,50193
October 2006,55341
November 2006,54091
December 2006,53736
January 2007,50222
February 2007,47952
March 2007,59485
April 2007,57609
May 2007,59480
June 2007,61719
July 2007,63677
August 2007,62906
September 2007,52581
October 2007,57466
November 2007,55288
December 2007,53492
January 2008,50451
February 2008,50301
March 2008,59411
April 2008,55805
May 2008,58260
June 2008,59786
July 2008,61622
August 2008,59223
September 2008,47928
October 2008,53228
November 2008,47874
December 2008,50451
January 2009,45026
February 2009,43868
March 2009,53754
April 2009,52475
May 2009,53160
June 2009,56111
July 2009,59695
August 2009,56820
September 2009,48510
October 2009,52565
November 2009,48840
December 2009,49988
January 2010,45720
February 2010,42634
March 2010,54673
April 2010,52738
May 2010,54078
June 2010,56939
July 2010,59417
August 2010,57645
September 2010,50601
October 2010,55146
November 2010,51719
December 2010,51330
January 2011,46542
February 2011,43882
March 2011,55948
April 2011,53110
May 2011,56225
June 2011,58041
July 2011,60596
August 2011,57720
September 2011,51320
October 2011,54451
November 2011,51961
December 2011,51779
January 2012,47291
February 2012,46624
March 2012,56458
April 2012,53912
May 2012,55951
June 2012,58136
July 2012,59909
August 2012,58923
September 2012,50429
October 2012,54062
November 2012,52099
December 2012,51347
January 2013,48011
February 2013,45908
March 2013,56764
April 2013,53423
May 2013,56760
June 2013,58186
July 2013,59509
August 2013,58373
September 2013,51037
October 2013,54961
November 2013,50766
December 2013,54551
January 2014,48165
February 2014,45693
March 2014,57998
April 2014,55443
May 2014,58075
June 2014,59490
July 2014,61958
August 2014,60007
September 2014,52785
October 2014,57359
November 2014,52824
December 2014,55691
January 2015,49917
February 2015,47337
March 2015,59753
April 2015,57882
May 2015,60449
June 2015,62011
July 2015,65324
August 2015,62978
September 2015,56239
October 2015,61157
November 2015,57366
December 2015,58041
January 2016,52642
February 2016,51265
March 2016,61763
April 2016,59045
May 2016,62909
June 2016,64923
July 2016,66299
August 2016,63686
September 2016,58882
October 2016,61987
November 2016,59502
December 2016,59350
January 2017,54297
February 2017,51252
March 2017,64181
April 2017,61292
May 2017,64633
June 2017,66926
July 2017,68725
August 2017,66856
September 2017,57405
October 2017,64908
November 2017,62162
December 2017,61577
January 2018,55998
February 2018,54261
March 2018,66856
April 2018,64744
May 2018,68024
June 2018,70460
July 2018,72697
August 2018,70523
September 2018,60696
October 2018,67332
November 2018,64922
December 2018,63800
January 2019,58215
February 2019,55858
March 2019,70442
April 2019,67125
May 2019,71559
June 2019,72963
July 2019,75465
August 2019,72939
September 2019,64259
October 2019,70231
November 2019,65128
December 2019,69960
January 2020,61866
February 2020,60096
March 2020,34545
April 2020,2908
May 2020,9750
June 2020,16297
July 2020,23027
August 2020,24550
September 2020,23997
October 2020,28225
November 2020,26460
December 2020,27402
January 2021,24473
February 2021,24607
March 2021,39518
April 2021,44010
May 2021,52929
June 2021,60320
July 2021,66958
August 2021,60847
September 2021,54184
October 2021,60873
November 2021,60059
December 2021,59761
January 2022,46024
February 2022,49265
March 2022,64876
April 2022,63753
May 2022,67191
June 2022,67580
July 2022,69690
August 2022,66763
September 2022,63458
October 2022,68281
November 2022,63988
December 2022,62754
January 2023,58513
February 2023,56965
March 2023,69992
April 2023,67815
May 2023,71673
June 2023,72742
July 2023,75635
August 2023,71801
September 2023,67227
October 2023,73380
November 2023,68736
December 2023,68172
January 2024,60042
February 2024,61223
March 2024,73516
April 2024,70830
May 2024,76071
June 2024,77406
July 2024,79018
August 2024,75069
September 2024,68325
October 2024,73398
November 2024,68009
December 2024,72361
January 2025,60635
February 2025,58456
March 2025,72522
April 2025,69873
May 2025,74501
June 2025,76570
July 2025,79098
,
,
SOURCE: Bureau of Transportation Statistics,T-100 Market and Segment
